timestamp,step,turn,status,board,action,opp_model
12:51:19.033640,0,SYSTEM,INITIAL,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,
12:51:19.037628,0,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:19.051812,1,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:19.061638,1,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 1, 0, 0], [0, 0, 1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 2]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:29.468595,2,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:29.501902,3,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:29.569952,3,black,MOVED,"[[0, 1, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[1, 2]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:32.293636,4,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:32.295152,5,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:32.305349,5,black,MOVED,"[[0, 1, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 1, 1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 2]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:34.694419,6,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:34.699356,7,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:34.763297,7,black,MOVED,"[[1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 0, 1, 0], [0, 1, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 0]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:37.234532,8,white,MOVED,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:37.236260,9,black,THINKING,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:37.332005,9,black,MOVED,"[[1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, -1, 1, -1, 1, 1], [1, 1, -1, 1, -1, 1, -1, 1], [1, -1, -1, 1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, -1, 1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[5, 5]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:39.719437,10,white,MOVED,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, -1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:39.733249,11,black,THINKING,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 0, -1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:39.826859,11,black,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, -1, -1, 1, 1, 1, 1], [1, 1, -1, 1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1]]","[1, 4]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:43.358420,12,white,MOVED,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:43.371388,13,black,THINKING,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:43.471704,13,black,MOVED,"[[1, 1, -1, 1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, -1, 1, -1, 1, 1, 1], [1, -1, 1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, -1, 1, -1, 1, -1], [1, 1, 1, 1, -1, -1, -1, 1], [1, 1, 1, 1, -1, -1, 1, 1]]","[1, 6]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:46.060381,14,white,MOVED,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [-1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:46.074399,15,black,THINKING,"[[0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [-1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:46.174332,15,black,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, -1, 1, -1, -1, 1, 1], [1, 1, 1, -1, -1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1]]","[5, 0]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:48.518936,16,white,MOVED,"[[0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [-1, -1, 0, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:48.532364,17,black,THINKING,"[[0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 1, -1, 1, 0, 0], [0, 0, 0, -1, -1, 0, 0, 0], [0, 1, -1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 1, 0, 0], [-1, -1, 0, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
12:51:48.624096,17,black,MOVED,"[[1, 1, 1, 1, 1, 1, 0, 0], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, -1, -1, -1, 1, 1, 1], [1, -1, 1, -1, 1, 1, 1, 1], [1, -1, -1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 0, 1, 1, 1]]","[5, 4]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
