timestamp,step,turn,status,board,action,opp_model
12:55:09.601843,0,SYSTEM,INITIAL,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,
12:55:09.627113,1,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 2]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:09.633899,2,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:09.668757,2,white,MOVED,"[[0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 1, 1, 1, 1, 1, 1, 0], [0, 0, 1, 1, 1, 1, 1, 0], [0, 0, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 2]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:12.590807,3,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:12.606895,4,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:12.680036,4,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 4]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:15.850159,5,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:15.872340,6,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:15.947120,6,white,MOVED,"[[1, 1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 4]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:18.478455,7,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:18.480211,8,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:18.578282,8,white,MOVED,"[[1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 1]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:21.171057,9,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:21.176621,10,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:21.238868,10,white,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 2]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:23.510737,11,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 1, 0, 0, 0], [1, -1, 1, 1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:23.538795,12,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 1, 0, 0, 0], [1, -1, 1, 1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:23.638808,12,white,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 0]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:27.432802,13,black,MOVED,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, -1, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:27.452136,14,white,THINKING,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, -1, 1, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:27.535017,14,white,MOVED,"[[1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, 1, -1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1]]","[4, 5]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:31.518291,15,black,MOVED,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, -1, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:31.538898,16,white,THINKING,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, 1, 1, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, -1, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:31.640081,16,white,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, -1, -1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, 1, -1]]","[2, 6]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:34.475079,17,black,MOVED,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, 1, 1, -1, 0, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:34.476812,18,white,THINKING,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 0, -1, 0, 0, 0], [1, 1, 1, -1, 0, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:34.572950,18,white,MOVED,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, -1, -1, 1, 1, 1], [1, 1, 1, -1, -1, -1, 1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, 1, -1]]","[3, 1]","[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
12:55:37.654573,19,black,MOVED,"[[1, 0, 0, 0, 0, -1, 0, 0], [1, 0, 0, 1, -1, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 0, 0, 0], [0, 0, -1, 1, 1, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.125, 0.125, 0.5]"
