timestamp,step,turn,status,board,action,opp_model
17:50:50.768402,0,SYSTEM,INITIAL,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,
17:50:50.778891,1,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 2]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:50:50.792297,2,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:50:50.812122,2,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 4]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:50:52.971283,3,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 4]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:50:52.973298,4,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:50:53.005187,4,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 2]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]"
17:51:01.168308,5,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 1]","[0.13042370819503346, 0.1302672310927789, 0.1301108168690841, 0.1296419542144495, 0.12886179957720223, 0.12730642396209887, 0.12268215149264704, 0.10070591459670596]"
17:51:01.169203,6,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.13042370819503346, 0.1302672310927789, 0.1301108168690841, 0.1296419542144495, 0.12886179957720223, 0.12730642396209887, 0.12268215149264704, 0.10070591459670596]"
17:51:01.190510,6,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 1, 1, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 3]","[0.13042370819503346, 0.1302672310927789, 0.1301108168690841, 0.1296419542144495, 0.12886179957720223, 0.12730642396209887, 0.12268215149264704, 0.10070591459670596]"
