timestamp,step,turn,status,board,action,opp_model
11:12:49.924201,0,SYSTEM,INITIAL,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,
11:12:49.927413,0,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.25, 0.25, 0.25, 0.25]"
11:12:49.928258,1,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.25, 0.25, 0.25, 0.25]"
11:12:50.040099,1,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 3]","[0.25, 0.25, 0.25, 0.25]"
11:12:52.836713,2,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 2]","[0.20381556891569128, 0.20995779802499798, 0.23809422949595602, 0.34813240356335473]"
11:12:52.836713,3,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.20381556891569128, 0.20995779802499798, 0.23809422949595602, 0.34813240356335473]"
11:12:53.152665,3,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 1]","[0.20381556891569128, 0.20995779802499798, 0.23809422949595602, 0.34813240356335473]"
11:12:56.933009,4,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 2]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:12:56.933009,5,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:12:57.397291,5,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 5]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:00.550356,6,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 1]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:00.550356,7,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:01.739163,7,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [0, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 5]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:04.903947,8,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 0]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:04.905959,9,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0, 0], [-1, -1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:05.698681,9,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 3]","[0.1679767455868182, 0.18638327384009637, 0.24428103373455137, 0.401358946838534]"
11:13:10.811722,10,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[1, 1]","[0.5365323988193472, 0.39808836418173554, 0.06535743212833144, 2.18048705858914e-05]"
11:13:10.811722,11,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.5365323988193472, 0.39808836418173554, 0.06535743212833144, 2.18048705858914e-05]"
11:13:11.441199,11,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 4]","[0.5365323988193472, 0.39808836418173554, 0.06535743212833144, 2.18048705858914e-05]"
11:13:15.389117,12,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 3]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:15.389117,13,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:18.215705,13,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[4, 5]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:20.383018,14,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[6, 3]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:20.385031,15,black,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, -1, 1, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:27.017310,15,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 0]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:29.195628,16,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, 1, -1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 1]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:29.197640,17,black,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, 1, -1, -1, 1, 1, 0, 0], [1, 0, 1, -1, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:33.769757,17,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, 1, -1, 1, 1, 1, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[3, 7]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:36.926539,18,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, -1, -1, 1, 1, 1, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[5, 1]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:36.930569,19,black,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, -1, -1, 1, 1, 1, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:37.769389,19,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [1, -1, 1, 1, 1, 1, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[0, 2]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:39.932092,20,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, -1, 1, 1, 1, 1, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[2, 1]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:39.932092,21,black,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, -1, 1, 1, 1, 1, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:40.979969,21,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 1, 1, 0, 0, 0], [1, -1, 1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[2, 6]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:43.125718,22,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, -1, 1, 1, 0, 0, 0], [1, -1, 1, -1, 1, 1, 0, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 1, 0, -1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[6, 5]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:43.125718,23,black,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, -1, 1, 1, 0, 0, 0], [1, -1, 1, -1, 1, 1, 0, 0], [1, 1, 1, 1, -1, 0, 0, 0], [0, 0, 1, 1, 0, -1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]",,"[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:45.535311,23,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, -1, 1, 1, 0, 0, 0], [1, -1, 1, -1, 1, 1, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, -1, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]","[5, 5]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
11:13:47.694139,24,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, -1, 1, 0, 0, 0, 0, 0], [1, -1, -1, 1, 1, 0, 0, 0], [1, -1, -1, -1, 1, 1, 0, 0], [1, 1, -1, 1, 1, 1, 0, 0], [0, 0, -1, 1, 0, -1, 0, 0], [0, 0, -1, 1, 0, 0, 0, 0]]","[7, 2]","[0.5499009257557034, 0.39552321425397313, 0.054570005293464154, 5.854696859303291e-06]"
